Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,Tax_Percent_2022,Tax_Percent_2023,Tax_Percent_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue,Revenue Growth Rates,Forecasted Revenues,Comparison with Biggest Player,Operating Margin Forecast,Forecasted EBIT,growth in operating income,sales/capital scenario 1,sales/capital scenario 2,sales/capital scenario 3,Industry ROIC,Forecasted Reinvestment Scenario 1,Forecasted Reinvestment Scenario 2,Forecasted Reinvestment Scenario 3,Year 10 ROIC(1),Year 10 ROIC(2),Year 10 ROIC(3),total_reinvestment(1),total_reinvestment(2),total_reinvestment(3)
TVS Srichakra Limited (BSE:509243),BSE:509243,Rubber& Tires,Consumer Discretionary,2543,2985,2926,2373,2751,2625,4,4,-2,34,44,48,80,92,104,27%,23%,26%,29%,32%,34%,8,8,8,963,1027,1104,610,662,842,779,757,739,708,905,1082,226,145,143,254,255,260,1171,1149,1208,-62,206,228,-282,-202,-325,348,0,101,2313,3020,45.7,"Business Segment The company’s product portfolio includes tyres for 2/3-wheeler, Industrial Pneumatic, Farm and Implement, Skid-steer, Multi-purpose, etc. [1]",Small,349,278,204,0.119275461,0.093132328,0.080220212,0.097542667,0.76589404,0.790498975,1176,1611,1549,1651,80,-80,-0.702005731,-1.014388489,1112,1035,971,1954,1697,1581,0.178607984,0.163818503,0.129032258,-0.229571984,3.810344828,0.430910952,0.390100177,0.385831752,5.973669587,1.4,15.9,11.62263551,1.086520609,0.111073137,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[3072, 3226, 3387, 3557, 3734, 3921, 4117, 4323, 4539, 4766, 5004]",FALSE,"[np.float64(0.12), np.float64(0.12), np.float64(0.12), np.float64(0.12), np.float64(0.12), np.float64(0.11), np.float64(0.11), np.float64(0.11), np.float64(0.11), np.float64(0.11), np.float64(0.11)]","[np.float64(258.05), np.float64(270.98), np.float64(284.51), np.float64(298.79), np.float64(313.66), np.float64(301.92), np.float64(317.01), np.float64(332.87), np.float64(349.5), np.float64(366.98), np.float64(385.31)]",181.8,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1129,"[121.67, 102.67, 84.74, 73.91, 65.56, 69.26, 72.59, 76.3, 80.0, 84.07, np.float64(170.64)]","[108.15, 128.33, 153.33, 188.89, 236.0, 287.69, 356.36, 457.78, 617.14, 756.67, np.float64(170.64)]","[112.31, 96.25, 80.5, 70.83, 70.8, 74.8, 78.4, 98.1, 127.06, 174.62, np.float64(170.64)]",0.1318,0.07,0.1249,1001.41,3460.98,1154.31
Varun Beverages Limited (NSEI:VBL),NSEI:VBL,Beverage (Soft),Consumer Staples,8823,13173,16043,7129,10310,12326,51,-18,-5,207,204,292,531,617,681,26%,23%,23%,16%,15%,16%,433,650,650,3647,4453,6287,3387,3884,5431,2113,2632,2819,6311,6932,8409,497,607,1922,0,0,21,2772,4079,4835,1231,1790,2391,-1008,-1769,-3288,-178,-18,985,181790,538,60.2,"Brands [1] PepsiCo. franchised Brands - Pepsi, Tropicana, Slice, 7UP, Sting, Kurkure, Aquafina, Lipton, Doritos, Mirinda, Fritolay etc. Own Brands - Jive, Cooe, Reboost, Creambell, Aquaclear, Refreshh etc.",Large,4009,3067,1901,0.249890918,0.232824717,0.215459594,0.232725077,337.8996283,11.3314218,3895.333333,6778,4686,3269,1905,898,-0.344973809,-0.283990871,6937,5103,4080,12368,8987,7467,0.32414295,0.341270724,0.254586849,0.848861284,2.861842105,0.439117076,0.432179815,0.453595822,5.580154154,1,13.5,10.02226045,1.056363996,0.204949199,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[16845, 17687, 18572, 19500, 20475, 21499, 22574, 23703, 24888, 26132, 27439]",TRUE,"[np.float64(0.25), np.float64(0.24), np.float64(0.23), np.float64(0.22), np.float64(0.21), np.float64(0.2), np.float64(0.2), np.float64(0.19), np.float64(0.18), np.float64(0.17), np.float64(0.16)]","[np.float64(2947.88), np.float64(2971.42), np.float64(2990.09), np.float64(3003.0), np.float64(3009.82), np.float64(3009.86), np.float64(3160.36), np.float64(3152.5), np.float64(3135.89), np.float64(3109.71), np.float64(3073.17)]",178.99,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.3558,"[668.33, 561.33, 465.79, 403.48, 361.11, 379.26, 398.15, 418.15, 438.89, 460.74, np.float64(431.87)]","[594.07, 701.67, 842.86, 1031.11, 1300.0, 1575.38, 1954.55, 2508.89, 3385.71, 4146.67, np.float64(431.87)]","[616.92, 526.25, 442.5, 386.67, 390.0, 409.6, 430.0, 537.62, 697.06, 956.92, np.float64(431.87)]",0.1838,0.1023,0.1751,4987.1,18472.78,5825.41
Andrew Yule & Company Limited (BSE:526173),BSE:526173,Farming/Agriculture,Consumer Staples,414,374,310,423,380,399,34,32,38,8,10,16,6,6,7,109%,87%,-13%,0%,3%,0%,98,98,98,276,287,242,67,100,114,197,257,257,112,142,162,82,94,88,197,201,219,247,305,242,-63,54,23,23,-29,-21,4,-8,-12,1834,37.5,89.25,"History Andrew Yule & Company Limited (AYCL) was incorporated in 1919 as a Private Sector Co. to work as a managing agency. With the abolition of the managing agency system, the Co. lost its traditional business, and the Govt of India acquired the Co. in 1979. [1]",Small,-73,4,-1,-0.235483871,0.010695187,-0.002415459,-0.075734714,48.90666667,5.916129032,264.6666667,549,600,526,-51,14,0.98630137,-3.75,340,385,374,454,485,441,-0.160792952,0.008247423,-0.002267574,2.064516129,-0.909090909,0.251101322,0.206185567,0.151927438,11.99179541,1.4,15.9,14.91864466,0.436005626,0.067741935,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[326, 342, 359, 377, 396, 415, 436, 458, 481, 505, 530]",FALSE,"[-0.24, -0.08, 0.02, 0.02, 0.03, 0.04, 0.05, 0.05, 0.06, 0.07, 0.08]","[-54.77, -19.15, 5.03, 5.28, 8.32, 11.62, 15.26, 16.03, 20.2, 24.75, 29.68]",120.64,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0929,"[13.33, 10.67, 8.95, 7.83, 7.04, 7.04, 7.78, 8.15, 8.52, 8.89, 15.97]","[11.85, 13.33, 16.19, 20.0, 25.33, 29.23, 38.18, 48.89, 65.71, 80.0, 15.97]","[12.31, 10.0, 8.5, 7.5, 7.6, 7.6, 8.4, 10.48, 13.53, 18.46, 15.97]",0.0456,0.0308,0.0443,104.17,364.68,120.35
Avanti Feeds Limited (BSE:512573),BSE:512573,Food Processing,Consumer Staples,5036,5087,5369,4722,4692,4909,54,79,136,4,4,3,41,43,56,24%,27%,27%,38%,31%,24%,14,14,14,1882,2082,2352,4,3,17,617,636,716,273,398,497,40,34,9,931,1005,746,1272,1298,1847,-212,451,263,299,-418,-224,-68,-65,-60,9024,662,43.23,"Shrimp Feed Business (81% of 9MFY24 revenues) [1] The company is the largest producer of shrimp feed in India with a market share of ~45% in the domestic feed business . [2] It sold and produced ~4,06,995 MT of shrimp feed in 9MFY24. [3] The feed is sold in India, Bangladesh and Sri Lanka. [4]",Mid,463,399,318,0.086235798,0.078435227,0.063145353,0.075938793,13.63141994,1.680759918,1472.333333,2602,2337,2243,185,75,-0.084233261,-0.859649123,2366,2096,1896,2383,2099,1900,0.194292908,0.190090519,0.167368421,0.992957746,0.256281407,0.007133865,0.001429252,0.002105263,83.66013072,1.2,14.7,15.19195225,1.732494353,0.041720991,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[5637, 5919, 6215, 6526, 6852, 7195, 7555, 7932, 8329, 8746, 9183]",FALSE,"[np.float64(0.09), np.float64(0.09), np.float64(0.09), np.float64(0.1), np.float64(0.1), np.float64(0.1), np.float64(0.11), np.float64(0.11), np.float64(0.11), np.float64(0.12), np.float64(0.12)]","[np.float64(355.13), np.float64(372.9), np.float64(391.54), np.float64(456.82), np.float64(479.64), np.float64(503.65), np.float64(581.73), np.float64(610.76), np.float64(641.33), np.float64(734.66), np.float64(771.37)]",594.63,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1766,"[223.33, 188.0, 155.79, 135.22, 120.74, 127.04, 133.33, 139.63, 147.04, 154.44, np.float64(218.39)]","[198.52, 235.0, 281.9, 345.56, 434.67, 527.69, 654.55, 837.78, 1134.29, 1390.0, np.float64(218.39)]","[206.15, 176.25, 148.0, 129.58, 130.4, 137.2, 144.0, 179.52, 233.53, 320.77, np.float64(218.39)]",0.188,0.0872,0.1754,1742.95,6258.35,2023.79
B & A Limited (BSE:508136),BSE:508136,Food Processing,Consumer Staples,290,292,290,247,269,273,2,6,9,4,4,5,5,5,5,26%,33%,22%,3%,1%,0%,3,3,3,111,119,129,24,30,49,60,65,71,86,89,117,6,6,10,0,0,0,107,123,125,31,11,33,-14,-16,-50,-5,-6,9,174,560,59.15,"Business Overview: Company is engaged in the business of cultivation, production and sale of black tea which is seasonal in nature. [1] Company is operating 11 tea estates, including the latest acquisition in and around different locations of upper Assam, like Jorhat, Sibsagar and Golaghat. The Company produced around 5.5 million kgs. super quality tea. [2] Company produces superior quality of tea, which commands a premium over industry average levels. All the tea gardens are located in upper Assam which is well-known for its superior quality of tea due to its favourable climatic conditions and better soil structure. Accordingly, the average realisations of tea manufactured by the company are higher than the average realisations in the tea auctions. From April 2022 onwards, company’s Gatoonga Tea Estate was ranked as no.1 followed by Mokrung Tea Estate at no.3 and Salkathoni Tea Estate at no.7 in All India Batting Order in terms of price fetched by the company in Assam for CTC tea in the auctions. [3]",Micro,22,27,47,0.075862069,0.092465753,0.162068966,0.110132263,0.310714286,0.6,118.3333333,135,129,113,0,11,-2.272727273,-0.185185185,132,122,114,181,152,138,0.121546961,0.177631579,0.34057971,-0.068965517,0.142857143,0.270718232,0.197368421,0.173913043,13.40136054,1.6,17.1,16.09871087,1.150793651,0.172413793,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[304, 320, 336, 352, 370, 389, 408, 428, 450, 472, 496]",FALSE,"[np.float64(0.08), np.float64(0.08), np.float64(0.08), np.float64(0.09), np.float64(0.09), np.float64(0.1), np.float64(0.1), np.float64(0.11), np.float64(0.11), np.float64(0.12), np.float64(0.12)]","[np.float64(17.02), np.float64(17.92), np.float64(18.82), np.float64(22.18), np.float64(23.31), np.float64(27.23), np.float64(28.56), np.float64(32.96), np.float64(34.65), np.float64(39.65), np.float64(41.66)]",35.2,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1766,"[11.67, 10.67, 8.42, 6.96, 6.67, 7.04, 7.04, 7.41, 8.15, 8.15, np.float64(11.8)]","[10.37, 13.33, 15.24, 17.78, 24.0, 29.23, 34.55, 44.44, 62.86, 73.33, np.float64(11.8)]","[10.77, 10.0, 8.0, 6.67, 7.2, 7.6, 7.6, 9.52, 12.94, 16.92, np.float64(11.8)]",0.1507,0.0783,0.1425,93.98,336.93,109.02
Kohinoor Foods Limited (BSE:512559),BSE:512559,Food Processing,Consumer Staples,98.5,82.46,94.79,100.53,71.07,80.07,4.92,8.45,0.55,0.68,17.99,17.92,7.73,6.71,6.31,14.49%,-15.02%,-49.22%,0.00%,0.00%,0.00%,37.07,37.07,37.07,-550.45,-554.53,-559.24,710.28,707.3,700.78,18.45,23.28,47.32,165.13,159.09,158.12,0,0.08,0.11,0.11,0,0,50.11,53.95,67.7,79.07,21.5,28.18,4.61,-0.12,-4.82,-83.78,-21.02,-24.71,136,36.8,37.67,"Business Overview: [1] Company is in the business of Basmati Rice, Wheat Flour, Ready to Eat Curries & Meals, Simmer Sauces, Cooking Pastes to Spices, Seasonings, Frozen Food, Pure Ghee, Indian Cottage Cheese, Ready Mixes, Namkeens & Sweets",Micro,32.64,29.38,-1.35,0.34434012,0.356293961,-0.013705584,0.228976166,3.695652174,1.434750501,57.25333333,67.81,54.03,50.22,-10.26,-1.02,-0.462009804,-0.038801906,-522.17,-517.46,-513.38,178.61,189.84,196.9,0.182744527,0.154761905,-0.006856272,-1.097951915,2.271954674,3.92352052,3.725769069,3.607313357,1.732120894,1.6,17.1,-43.19618901,0.419554729,0.050849246,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[100, 105, 110, 115, 121, 127, 133, 140, 147, 154, 162]",FALSE,"[np.float64(0.34), np.float64(0.32), np.float64(0.3), np.float64(0.28), np.float64(0.25), np.float64(0.23), np.float64(0.21), np.float64(0.19), np.float64(0.16), np.float64(0.14), np.float64(0.12)]","[np.float64(23.8), np.float64(23.52), np.float64(23.1), np.float64(22.54), np.float64(21.17), np.float64(20.45), np.float64(19.55), np.float64(18.62), np.float64(16.46), np.float64(15.09), np.float64(13.61)]",-14.56,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1766,"[4.34, 3.33, 2.63, 2.17, 2.22, 2.22, 2.22, 2.59, 2.59, 2.59, np.float64(3.85)]","[3.86, 4.17, 4.76, 5.56, 8.0, 9.23, 10.91, 15.56, 20.0, 23.33, np.float64(3.85)]","[4.01, 3.12, 2.5, 2.08, 2.4, 2.4, 2.4, 3.33, 4.12, 5.38, np.float64(3.85)]",0.0734,0.0531,0.0717,30.75,109.23,35.59
KRBL Limited (NSEI:KRBL),NSEI:KRBL,Food Processing,Consumer Staples,4211,5365,5385,3549,4425,4582,43,92,97,13,15,24,74,76,79,26%,26%,25%,18%,3%,15%,24,24,23,4047,4669,4835,145,250,545,533,648,525,924,899,903,2,16,13,21,31,115,3801,4645,4896,561,-360,226,-206,206,-87,-322,5,-157,5992,262,60.17,"Market Leadership The company is India’s largest exporter of branded basmati rice. Its India Gate brand is recognized as the world’s no. 1 basmati rice brand. It also has the largest rice milling plant in Punjab. It possesses the largest contact farming network coverage for rice [1] As of Q1 FY25, the company has a market share of 37% in the general trade and 45% in the modern trade of basmati packaged rice in India as per Nielsen. [2]",Mid,827,955,675,0.153574745,0.178005592,0.160294467,0.163958268,22.87022901,1.11272052,4447.333333,5024,4692,3824,455,753,0.444981862,1.004188482,4858,4693,4071,5403,4943,4216,0.153063113,0.193202509,0.160104364,0.043478261,1.587345254,0.100869887,0.050576573,0.034392789,6.456395655,1.2,14.7,13.86846856,0.908554075,0.016155989,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[5654, 5937, 6234, 6546, 6873, 7216, 7577, 7956, 8354, 8772, 9210]",FALSE,"[np.float64(0.15), np.float64(0.15), np.float64(0.15), np.float64(0.14), np.float64(0.14), np.float64(0.14), np.float64(0.13), np.float64(0.13), np.float64(0.13), np.float64(0.12), np.float64(0.12)]","[np.float64(593.67), np.float64(623.38), np.float64(654.57), np.float64(641.51), np.float64(673.55), np.float64(707.17), np.float64(689.51), np.float64(724.0), np.float64(760.21), np.float64(736.85), np.float64(773.64)]",257.1,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1766,"[224.17, 188.67, 156.32, 135.65, 121.11, 127.04, 133.7, 140.37, 147.41, 154.81, np.float64(219.04)]","[199.26, 235.83, 282.86, 346.67, 436.0, 527.69, 656.36, 842.22, 1137.14, 1393.33, np.float64(219.04)]","[206.92, 176.88, 148.5, 130.0, 130.8, 137.2, 144.4, 180.48, 234.12, 321.54, np.float64(219.04)]",0.1063,0.0643,0.1021,1748.29,6276.4,2029.88
LT Foods Limited (NSEI:LTFOODS),NSEI:LTFOODS,Food Processing,Consumer Staples,5427,6936,7772,4835,6235,6835,23,71,99,69,82,83,123,127,153,27%,25%,25%,11%,9%,3%,32,35,35,1966,2722,3337,1320,1221,917,1042,1341,1753,905,995,1160,35,27,41,25,127,183,3394,4170,4657,517,258,757,-145,-395,-201,-358,136,-538,12402,357,51,"Brands The company owns several rice brands such as Daawat, Royal, Heritage, Devaaya, Gold Seal Indus Valley, 817 Elephant, Leev, Golden Star and Kari Kari and Ecolife. [1] . Its flagship Brands “Daawat” and “Royal” enjoy leadership positions in the market of Basmati Rice in India and North America with market share of 30% and 50% respectively. [2] {https://economictimes.indiatimes.com/industry/cons-products/food/lt-foods-acquires-51-stake-in-golden-star-trading/articleshow/89971510.cms?from=mdr} {https://www.livemint.com/companies/news/lt-foods-picks-30-stake-in-netherlands-based-leev-through-subsidiary-11611135253274.html}",Mid,1020,783,661,0.13124035,0.112889273,0.121798415,0.121976013,34.7394958,1.595728255,4073.666667,4881,4324,3454,145,571,-0.054901961,0.224776501,3372,2757,1998,4289,3978,3318,0.237817673,0.196832579,0.199216395,2.688102894,2.286363636,0.213802751,0.30693816,0.397830018,6.998111178,1.2,14.7,13.05331498,1.286541963,0.025862069,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[8161, 8569, 8997, 9447, 9919, 10415, 10936, 11483, 12057, 12660, 13293]",FALSE,"[np.float64(0.13), np.float64(0.13), np.float64(0.13), np.float64(0.13), np.float64(0.13), np.float64(0.13), np.float64(0.12), np.float64(0.12), np.float64(0.12), np.float64(0.12), np.float64(0.12)]","[np.float64(742.65), np.float64(779.78), np.float64(818.73), np.float64(859.68), np.float64(902.63), np.float64(947.76), np.float64(918.62), np.float64(964.57), np.float64(1012.79), np.float64(1063.44), np.float64(1116.61)]",534.23,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1766,"[324.17, 272.0, 225.26, 195.65, 174.81, 183.7, 192.96, 202.59, 212.59, 223.33, np.float64(316.14)]","[288.15, 340.0, 407.62, 500.0, 629.33, 763.08, 947.27, 1215.56, 1640.0, 2010.0, np.float64(316.14)]","[299.23, 255.0, 214.0, 187.5, 188.8, 198.4, 208.4, 260.48, 337.65, 463.85, np.float64(316.14)]",0.1637,0.0816,0.1541,2523.2,9057.15,2929.45
Tata Consumer Products Limited (NSEI:TATACONSUM),NSEI:TATACONSUM,Food Processing,Consumer Staples,12425,13783,15206,10707,11927,12922,88,328,-81,73,87,130,278,304,377,26%,25%,23%,60%,65%,64%,92,93,95,15050,16184,15962,1412,1600,3477,4521,4886,8345,12599,13070,19358,247,295,190,797,1433,871,7431,7965,7461,1516,1461,1937,-1317,-834,-1911,-995,-714,256,95201,962,33.84,"Brands [1] Tata Salt: Largest salt brand in India Tata Tea : 2nd Largest tea brand in India Tetley : 3rd largest tea brand in the UK & largest tea brand in Canada Himalayan: #1 natural mineral water brand in India Eight o Clock : 4th largest R&G coffee brand in the USA Tata Sampann : National brand in pulses, spices, dry fruits, and other staples. It is among the top 10 FMCG companies in India In Q2FY24, the market share in tea and salt decreased slightly. [2]",Large,2414,1943,1791,0.158753124,0.140970761,0.144144869,0.147956251,98.96153846,6.260752335,7619,8522,9693,8475,-4630,853,-2.709610605,0.009778693,16057,16277,15142,19534,17877,16554,0.1235794,0.10868714,0.108191374,0.858780929,1.026455026,0.177997338,0.089500475,0.085296605,4.782109002,1,13.5,11.94823861,0.545408895,0.125674076,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[15966, 16765, 17603, 18483, 19407, 20377, 21396, 22466, 23589, 24769, 26007]",TRUE,"[np.float64(0.16), np.float64(0.15), np.float64(0.15), np.float64(0.15), np.float64(0.14), np.float64(0.14), np.float64(0.14), np.float64(0.13), np.float64(0.13), np.float64(0.12), np.float64(0.12)]","[np.float64(1788.19), np.float64(1760.32), np.float64(1848.31), np.float64(1940.71), np.float64(1901.89), np.float64(1996.95), np.float64(2096.81), np.float64(2044.41), np.float64(2146.6), np.float64(2080.6), np.float64(2184.59)]",566.29,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1766,"[633.33, 532.67, 441.05, 382.61, 342.22, 359.26, 377.41, 396.3, 415.93, 437.04, np.float64(618.51)]","[562.96, 665.83, 798.1, 977.78, 1232.0, 1492.31, 1852.73, 2377.78, 3208.57, 3933.33, np.float64(618.51)]","[584.62, 499.38, 419.0, 366.67, 369.6, 388.0, 407.6, 509.52, 660.59, 907.69, np.float64(618.51)]",0.0872,0.0568,0.0844,4936.33,17719.9,5731.18
Godfrey Phillips India Limited (BSE:500163),BSE:500163,Tobacco,Consumer Staples,2688,3562,4420,2054,2759,3527,114,252,375,34,29,26,145,154,146,23%,21%,19%,33%,33%,33%,10,10,10,2917,3538,4222,337,355,345,837,1065,1266,983,932,893,42,22,10,1844,2669,3000,1234,1346,1940,479,736,290,-234,-541,55,-238,-206,-349,22646,4356,72.58,Market Position The company is a part of the KK Modi Group and one of the leading FMCG Companies in India. [1] It has a market share of ~14% in the domestic cigarette business. [2],Large,919,832,668,0.207918552,0.233576642,0.248511905,0.230002366,5.198806244,5.123529412,1506.666667,4950,4037,3120,712,689,0.834602829,0.177884615,4232,3548,2927,4577,3903,3264,0.200786541,0.213169357,0.204656863,1.272997033,1.367762128,0.075376884,0.090955675,0.103247549,8.598088913,1,13.5,13.13050921,0.756460722,-0.012443439,"[8, 7, 7, 7, 6, 6, 6, 6, 6, 5, 5]","[4774, 5108, 5465, 5848, 6199, 6571, 6965, 7383, 7826, 8217, 8628]",TRUE,"[np.float64(0.21), np.float64(0.2), np.float64(0.2), np.float64(0.19), np.float64(0.19), np.float64(0.18), np.float64(0.18), np.float64(0.17), np.float64(0.17), np.float64(0.16), np.float64(0.16)]","[np.float64(701.78), np.float64(715.12), np.float64(765.1), np.float64(777.78), np.float64(824.47), np.float64(827.95), np.float64(877.59), np.float64(878.58), np.float64(931.29), np.float64(920.3), np.float64(966.34)]",377.94,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.3173,"[295.0, 222.67, 187.89, 166.52, 130.0, 137.78, 145.93, 154.81, 164.07, 144.81, np.float64(152.28)]","[262.22, 278.33, 340.0, 425.56, 468.0, 572.31, 716.36, 928.89, 1265.71, 1303.33, np.float64(152.28)]","[272.31, 208.75, 178.5, 159.58, 140.4, 148.8, 157.6, 199.05, 260.59, 300.77, np.float64(152.28)]",0.1455,0.0826,0.1394,1901.76,6712.99,2178.63
Dabur India Limited (NSEI:DABUR),NSEI:DABUR,Transportation,Consumer Staples,10889,11530,12404,8637,9367,10004,308,445,482,39,78,124,253,311,399,23%,23%,23%,53%,54%,53%,177,177,177,8205,8796,9689,1030,1174,1365,2872,3505,3885,2308,3579,3815,168,175,232,6220,6265,6933,3589,3633,4136,1802,1488,2013,-1273,-583,-971,-490,-1035,-1161,93073,525,66.27,Leading FMCG Company Dabur India Limited is the fourth largest FMCG Company in India and the world’s largest Ayurvedic and Natural Health Care Company with a portfolio of over 250 Herbal/Ayurvedic products. [1],Large,2524,2241,2291,0.203482748,0.194362533,0.210395812,0.202747031,177.2819048,7.503466624,3786,11301,10073,9977,848,-537,-0.048732171,-0.499776885,9866,8973,8382,11231,10147,9412,0.224735108,0.220853454,0.243412665,0.806273063,0.872108844,0.121538599,0.115699221,0.109434764,6.504869717,1,13.5,12.64982167,0.820587457,0.0782812,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[13024, 13675, 14359, 15077, 15831, 16623, 17454, 18326, 19243, 20205, 21215]",FALSE,"[np.float64(0.2), np.float64(0.2), np.float64(0.19), np.float64(0.19), np.float64(0.18), np.float64(0.18), np.float64(0.17), np.float64(0.17), np.float64(0.16), np.float64(0.16), np.float64(0.15)]","[np.float64(1823.36), np.float64(1914.5), np.float64(1909.75), np.float64(2005.24), np.float64(1994.71), np.float64(2094.5), np.float64(2077.03), np.float64(2180.79), np.float64(2155.22), np.float64(2262.96), np.float64(2227.57)]",577.44,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0287,"[516.67, 434.0, 360.0, 312.17, 279.26, 293.33, 307.78, 322.96, 339.63, 356.3, np.float64(3880.78)]","[459.26, 542.5, 651.43, 797.78, 1005.33, 1218.46, 1510.91, 1937.78, 2620.0, 3206.67, np.float64(3880.78)]","[476.92, 406.88, 342.0, 299.17, 301.6, 316.8, 332.4, 415.24, 539.41, 740.0, np.float64(3880.78)]",0.1534,0.0899,0.1469,7402.88,17830.9,8051.2
