Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue
Media Matrix Worldwide Limited (BSE:512267),BSE:512267,Entertainment,Communication Services,579,945,1412,576,933,1398,7,2,4,4,7,9,2,2,1,46%,49%,23%,0%,0%,0%,113,113,113,108,16,153,74,100,115,43,65,108,2,2,4,0,0,0,181,88,223,155,204,262,-170,-59,31,106,38,-56,54,24,17,1596,14.1,269,59.33,Products & Services Its subsidiary nexG Devices Private Limited is engaged in the trading of mobile handsets which distributes white-labeled products from global OEMs with services from telecom operators and offers a wide range of customized solutions to customers. [1],Small,23,19,7,0.016288952,0.02010582,0.01208981,0.016161527,113.1914894,1.130311615,207,485,292,336,150,-66,4.086956522,-1.473684211,266,129,221,381,229,295,0.060367454,0.082969432,0.023728814,3.072368421,-5.545454545,0.30183727,0.436681223,0.250847458,6.743830787,1.4,15.9,13.13632688,2.887525562,0.039660057
Pritish Nandy Communications Ltd (NSEI:PNC),NSEI:PNC,Entertainment,Communication Services,44.71,18.28,57.72,44.78,22.28,55.55,0.27,0.55,0.64,0.23,0.12,0.1,0.26,0.33,0.32,13.79%,0.26%,-1.26%,0.00%,0.00%,0.00%,14.47,14.47,14.47,61.43,57.69,60.06,1.36,1.78,1.13,18.98,18.36,23.17,2.32,2.02,1.78,0,0,0,0,0,0,93.92,90.28,97.05,3.4,-2.12,2.09,-2.16,-0.24,2.32,-0.91,0.3,-0.75,57.8,39.9,39.8,54.84,"Streaming The Companyâs filmed content library is now widely streaming across many OTT platforms, including Netflix, Amazon, Disney+ Hotstar, Jio, Sony Liv, Eros, and many other feature films are also available on the satellite platform of the Star TV Network. [1]",Micro,2.27,-3.88,0.16,0.039327789,-0.212253829,0.003578618,-0.056449141,1.448621554,1.001386001,93.75,97.05,90.28,93.92,1.96,-3.02,1.885462555,0.840206186,74.53,72.16,75.9,75.66,73.94,77.26,0.030002643,-0.05247498,0.002070929,22.93023256,7.960843373,0.014935237,0.024073573,0.017602899,10.83429842,1.6,17.1,17.00642026,0.584033188,-0.04019404
D. B. Corp Limited (NSEI:DBCORP),NSEI:DBCORP,Publishing & Newspapers,Communication Services,1769,2129,2402,1463,1806,1779,17,38,81,18,21,24,110,112,114,27%,26%,25%,62%,63%,21%,177,178,178,1705,1770,2043,199,213,253,456,418,518,1154,1073,1059,0,1,2,14,66,67,1369,1439,1864,371,243,579,-224,-143,-380,-155,-132,-194,4592,258,10.4,72.34,Business Segments,Small,647,344,324,0.269358868,0.161578206,0.183154324,0.204697133,17.79844961,1.911740216,1557.333333,1933,1506,1383,327,161,-0.081916538,0.052325581,2221,1948,1882,2474,2161,2081,0.261519806,0.159185562,0.155694378,0.872204473,4.5,0.102263541,0.098565479,0.095627102,9.463515689,1.4,15.9,15.24178232,0.802807487,0.158201499
HT Media Limited (NSEI:HTMEDIA),NSEI:HTMEDIA,Publishing & Newspapers,Communication Services,1500,1711,1695,1473,1848,1766,176,151,128,55,76,78,135,132,119,-52%,30%,-35%,0%,0%,0%,46,46,46,2037,1753,1668,876,869,890,1416,1469,1498,1209,1138,956,20,37,18,2053,1836,1776,1094,1126,1351,14,-47,-53,5,249,142,-32,-207,-57,455,19.6,,69.51,"Business Overview: [1] HTML is a 69.5% subsidiary of Hindustan Times Limited, a KK Birla Group Company. Company, along with its subsidiaries and a Joint Venture including Hindustan Media Ventures Limited, are collectively referred to as the HT Group. It is in the business of print media.",Micro,7,-61,82,0.004129794,-0.035651666,0.054666667,0.007714931,23.21428571,0.268436578,1190.333333,3145,2999,3167,117,-221,37,-0.459016393,1714,1799,2083,2604,2668,2959,0.002688172,-0.022863568,0.027712065,0.25,-0.725085911,0.341781874,0.325712144,0.296045961,7.929422817,1.6,17.1,13.96566294,0.413313826,-0.083775811
Bharti Airtel Limited (BSE:532454),BSE:532454,Telecom (Wireless),Communication Services,116547,139145,149982,59013,67871,71691,4656,1019,-3428,16616,19300,22648,"33,091","36,432","39,538",33%,26%,32%,39%,27%,62%,2795,2837,2877,63759,74726,79142,169678,226020,215592,124975,140974,144408,244083,277394,303303,5955,49425,16904,29349,32954,31602,81820,84784,90210,55017,65325,78898,-41478,-39232,-51089,-15203,-24470,-27778,968968,1619,68.3,53.12,"Segments & Presence [1] Mobile, Broadband, DTH and Bank. The company has operations in India, Africa, Bangladesh and Sri Lanka.",Large,100939,90574,74150,0.673007428,0.650932481,0.636224013,0.653387974,598.4978382,6.460561934,85604.66667,138716,167163,117124,-31881,34040,-0.821981593,-0.057323294,82019,77563,66554,297611,303583,236232,0.339164211,0.298350039,0.313886349,-1.814634963,0.335525827,0.724408708,0.744508092,0.718268482,9.612253821,1,13.5,10.68368281,0.339311206,0.340634209
Indus Towers Limited (NSEI:INDUSTOWER),NSEI:INDUSTOWER,Telecom. Services,Communication Services,27717,28382,28601,12816,18713,14044,458,85,1490,1603,1670,1864,"5,325","5,324","6,060",24%,26%,26%,47%,0%,0%,2695,2695,2695,19456,18415,24344,19726,19185,20531,6091,6278,8298,31826,32384,39300,179,355,422,1652,276,3,14311,13559,16143,9121,7905,11582,-2174,-1730,-7546,-5982,-7133,-3996,95576,355,9.65,50,"Business Overview Indus Towers is a provider of tower and related infrastructure sharing services. It is one of the largest telecom tower companies in India based on the number of towers and co-locations operated by the Company. It provides access to its towers, primarily to wireless telecommunication service providers, on a shared basis under long-term contracts. [1]",Large,16421,11339,16504,0.574140764,0.399513776,0.595446838,0.523033793,269.228169,3.341701339,14671,16568,14190,16142,358,-2139,-0.437732172,-0.341211747,27039,21110,22151,47570,40295,41877,0.345196552,0.281399677,0.39410655,0.030103093,-0.420353982,0.431595543,0.476113662,0.471046159,8.636667245,1,13.5,11.40100726,0.511938856,0.263836929
Alps Industries Limited (NSEI:ALPSINDUS),NSEI:ALPSINDUS,Apparel,Consumer Discretionary,302,17,2,317,24,3,-3,2,4,61,55,59,5,0,0,0%,0%,0%,0%,0%,0%,39,39,39,-752,-812,-869,715,769,828,44,11,6,2,2,2,0,0,0,1,1,1,42,3,1,-59,38,42,102,0,0,-44,-39,-42,10.6,2.7,,22.21,"Business Overview : [1] AIL manufactures home textile products, including bedding, window dressings, decorative pillows and accents, table linen, and kitchen linen. These products are made from vegetable-dyed fabrics, organic cotton, and recycled cotton fabrics.",Nano,58,48,46,29,2.823529412,0.152317881,10.65861576,3.925925926,5.3,15.33333333,2,4,43,3,-6,0.051724138,-0.125,-830,-773,-713,-2,-4,2,-29,-12,23,-7.5,47.5,-414,-192.25,357.5,7.60307268,1.8,18.3,4446.82791,0.5,0
Arvind Limited (BSE:500101),BSE:500101,Apparel,Consumer Discretionary,8010,8382,7738,7180,7554,6858,13,100,42,197,192,193,254,253,266,38%,15%,24%,0%,37%,37%,261,262,262,2690,3084,3281,1865,1517,1448,2881,2035,2254,3481,3427,3421,46,80,117,66,211,167,4104,3180,3539,595,666,696,-121,-135,-277,-439,-534,-419,8795,336,30.4,39.59,"Leading Denim Manufacturer [1] Arvind is a leading manufacturer of denim and woven fabrics, with capacities of 100 million meters per annum (MMPA) and 150 MMPA, respectively, as of March 31, 2023. The company also produces cotton shirting, knits, Khakis, and technical textiles.",Mid,1073,1020,1027,0.138666322,0.121689334,0.128214732,0.129523463,26.17559524,1.136598604,3607.666667,3823,3471,4216,133,101,-0.134203169,-0.033333333,3543,3346,2951,4991,4863,4816,0.214986977,0.20974707,0.213247508,-5.03125,7.914893617,0.29012222,0.311947358,0.387250831,12.18276365,1.2,14.7,13.9696938,1.068194368,0.035797364
Asian Star Company Limited (BSE:531847),BSE:531847,Apparel,Consumer Discretionary,4423,4478,3523,4289,4327,3403,2,-11,29,9,23,40,14,12,12,17%,21%,20%,3%,3%,3%,16,16,16,1297,1418,1493,691,628,741,428,446,462,228,218,223,0,1,0,83,64,80,2122,2225,2410,-176,94,-66,16,6,-4,132,-87,67,1236,772,16.9,74.66,"Business Overview: [1] [2] [3] a) ASCL procures rough diamonds at group level and processes it into cut and polished diamonds in their manufacturing facility in Surat, Gujarat. The polished diamonds are then sold across the globe b) Company is focused on Cutting and Polishing of Diamonds (CPDs) small size diamonds (less than 1 carat) which are used in studded jewelry. c) Company also manufactures diamond-studded gold and platinum jewelry. d) ASCL is partially integrated across the G&J value chain from procurement of rough diamonds, diamond cutting & polishing to jewelry manufacturing and distribution to retailers all over the world e) Company is also engaged in ownership, operation and maintenance of wind turbines for generation of electricity through wind power in India.",Small,160,174,143,0.045415839,0.038856632,0.032330997,0.038867823,1.601036269,0.350837355,2252.333333,2490,2290,2205,184,67,1.125,0.41954023,1509,1434,1313,2250,2062,2004,0.071111111,0.084384093,0.071357285,-5.079787234,0.948275862,0.329333333,0.304558681,0.344810379,3.454330415,1.4,15.9,11.80122615,1.298562477,0.001135396
Bang Overseas Limited (BSE:532946),BSE:532946,Apparel,Consumer Discretionary,83,117,134,78,113,142,2,2,3,1,1,2,2,1,1,2%,67%,-1%,0%,0%,0%,14,14,14,83,84,76,28,33,30,20,34,39,18,18,19,0,0,0,0,0,0,126,146,139,-14,11,-13,10,-16,17,4,4,-4,84,62,,52.7,"Brands They have 3 brands in their portfolio: Thomas Scott - Formal shirts, Semi-formal, and Business casual shirts [1] Italian Gold - Sourcing facility of Bang overseas Ltd. It has a tie up with Roberto Ferrari to solely market its premium fabric in India. This gives it the made-in-Italy label [2] Hammersmith - Shirts that are branded into 4 categories: Dress Shirts Luxury, Dress Shirts Exotica, Dress Shirts Classic, and Smart Shirts [3]",Micro,-6,5,6,-0.044776119,0.042735043,0.072289157,0.023416027,1.35483871,0.626865672,137,139,146,126,-12,6,-0.833333333,-2,90,98,97,120,131,125,-0.05,0.038167939,0.048,-1.545454545,5.666666667,0.25,0.251908397,0.224,4.422799423,1.6,17.1,13.93069986,0.848101266,-0.126865672
Garnet International Limited (BSE:512493),BSE:512493,Apparel,Consumer Discretionary,43.84,59.33,20.31,43.56,53.39,21.67,0,0,-4.59,0.33,1.18,0.01,0.81,0.94,0,45.35%,14.66%,0.50%,0.00%,0.00%,0.00%,19.64,19.64,19.64,9.51,12.36,7.73,11.07,21.6,4.93,12.76,11.19,1.67,10.15,11.88,0.01,2.35,8.74,0.8,6.33,6.5,13.89,34.15,37.67,19.27,-3.65,-0.62,6.69,0.17,-8.48,10.06,3.51,9.36,-16.67,268,136,77.2,49.3,Business Overview: [1] Company is an investment company registered as a Non-Banking Financial Corporation under the Reserve Bank Of India. Company's textile business consists of sales of garments and dyeing through its subsidiary Sukartik Clothing Private Limited.,Micro,-1.35,7.12,0.61,-0.066469719,0.120006742,0.013914234,0.022483752,1.970588235,13.19547021,30.36333333,33.96,52.91,42.83,-9.43,11.65,-0.466666667,0.445224719,27.37,32,29.15,32.3,53.6,40.22,-0.041795666,0.132835821,0.015166584,1.831924883,1.157698057,0.152631579,0.402985075,0.275236201,2.88227751,1.6,17.1,14.92992657,0.597880483,-0.495322501
Goldiam International Limited (BSE:526729),BSE:526729,Apparel,Consumer Discretionary,688,533,603,558,429,488,25,21,14,1,0,0,5,7,6,29%,27%,26%,12%,26%,14%,22,22,21,498,564,609,4,3,5,108,114,98,42,45,45,0,0,0,140,138,168,450,519,519,-10,65,107,95,-2,-28,-90,-31,-54,4577,429,48.5,62.38,"Product Portfolio Co is a supplier of Natural diamond jewellery and Lab grown diamond (LGD) jewellery to global retailers, departmental stores and wholesalers. Its products include Engagement Rings, Wedding Bands, Anniversary Rings, Bridal Sets, Earrings and Pendants. [1] [2] Goldiam has been transitioning from a pure natural diamond in-store jewelry company to a major supplier of Lab Grown Diamond Jewellery, with an omnichannel sales strategy. [3]",Small,115,104,131,0.190713101,0.195121951,0.190406977,0.192080676,10.66899767,7.590381426,496,687,657,590,46,61,0.156521739,0.567307692,630,586,520,635,589,524,0.181102362,0.176570458,0.25,1.52173913,-2.384615385,0.007874016,0.005093379,0.007633588,8.333333333,1.4,15.9,15.84041995,0.823770492,0.046434494
Himatsingka Seide Limited (NSEI:HIMATSEIDE),NSEI:HIMATSEIDE,Apparel,Consumer Discretionary,3184,2678,2841,2652,2407,2240,18,75,15,181,257,296,158,164,158,33%,-15%,31%,4%,0%,2%,49,49,49,1420,1400,1510,2922,2806,2898,1236,1262,1321,3176,3084,2947,44,30,32,13,10,2,2394,2394,2796,68,354,322,-141,-10,-118,121,-401,-228,1940,154,20,37.24,"Business [1] Himatsingka is a vertically integrated global textile major that designs, develops, manufactures and distributes textile products. With 4 manufacturing facilities, its installed capacities for Bedding Products, Bath Products and Cotton Yarn Products are amongst the largest in the world.",Small,897,528,713,0.315733897,0.197162061,0.223932161,0.245609373,12.5974026,0.682858149,2528,2830,2434,2451,337,-43,0.244147157,-0.100378788,1559,1449,1469,4457,4255,4391,0.201256451,0.124089307,0.162377591,0.806930693,3.720588235,0.650213148,0.659459459,0.665452061,8.522424391,1.4,15.9,11.10300334,0.491777739,0.041534671
K G Denim Limited (BSE:500239),BSE:500239,Apparel,Consumer Discretionary,610,530,263,583,533,264,6,5,6,25,23,26,16,16,15,12%,-25%,-28%,0%,0%,0%,26,26,26,48,21,-3,225,200,218,182,158,164,165,152,138,0,0,0,3,3,3,312,249,264,21,50,8,-3,-3,-1,-22,-48,-7,60.4,23.6,,58.73,"Business Overview: [1] [2] [3] KGDL is the flagship company of the KG Group is an integrated textile apparel and branded apparel player in India. It manufactures Denim Fabric, Apparel Fabric, Readymade Garments, and Home Textile products. Presence across the entire value chain Co. has a direct presence in weaving, dyeing, and garmenting segments and does branded retailing and apparel business through its wholly owned subsidiary, Trigger Apparel Ltd. own retail outlets under its Trigger brand and distributors spread across the country.",Micro,25,20,52,0.095057034,0.037735849,0.085245902,0.072679595,2.559322034,0.229657795,275,267,252,315,9,-39,0.32,-2.1,23,47,74,241,247,299,0.10373444,0.08097166,0.173913043,44.5,1.538461538,0.904564315,0.809716599,0.752508361,11.51257221,1.6,17.1,12.0458122,0.649382716,0.003802281
Morarjee Textiles Limited (BSE:532621),BSE:532621,Apparel,Consumer Discretionary,194,272,207,191,266,259,1,1,-31,55,72,80,23,23,22,-17%,0%,0%,0%,0%,0%,25,25,25,-30,-119,-304,517,525,515,145,195,267,432,410,388,0,0,0,1,0,0,224,217,116,-98,18,8,0,0,0,103,-6,-22,30.9,8.5,,59.71,"Business Overview: [1] Company offers premium and high-value niche product segments with 2 divisions viz. Premium Yarn dyed shirting division and Fashion fabric division (for voile, satin, poplin, and other high-end products). It provides spinning, yarn-dyeing, weaving, printing, processing, inspection, and packing facilities with technical collaboration with a Swiss company for finishing, and a Japanese company for printing.",Nano,28,78,58,0.1352657,0.286764706,0.298969072,0.24033316,3.635294118,0.149275362,185.6666667,116,217,225,-173,-58,-6.178571429,-0.743589744,-279,-94,-5,236,431,512,0.118644068,0.180974478,0.11328125,0.333333333,-0.962962963,2.18220339,1.218097448,1.009765625,13.29552139,1.8,18.3,7.379209812,0.410714286,0
