Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,other_liabilities_2022,other_liabilities_2023,other_liabilities_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About
Media Matrix Worldwide Limited (BSE:512267),BSE:512267,Entertainment,Communication Services,"<td class="""">579</td>","<td class="""">945</td>","<td class="""">1,412</td>","<td class="""">576</td>","<td class="""">933</td>","<td class="""">1,398</td>",7,2,4,4,7,9,2,2,1,46%,49%,23%,0%,0%,0%,113,113,113,108,16,153,74,100,115,43,65,108,2,2,4,0,0,0,181,88,223,155,204,262,-170,-59,31,106,38,-56,54,24,17,"1,596",14.1,269,59.33%,Products & Services Its subsidiary nexG Devices Private Limited is engaged in the trading of mobile handsets which distributes white-labeled products from global OEMs with services from telecom operators and offers a wide range of customized solutions to customers. [1]
Pritish Nandy Communications Ltd (NSEI:PNC),NSEI:PNC,Entertainment,Communication Services,"<td class="""">44.71</td>","<td class="""">18.28</td>","<td class="""">57.72</td>","<td class="""">44.78</td>","<td class="""">22.28</td>","<td class="""">55.55</td>",0.27,0.55,0.64,0.23,0.12,0.1,0.26,0.33,0.32,13.79%,0.26%,-1.26%,0.00%,0.00%,0.00%,14.47,14.47,14.47,61.43,57.69,60.06,1.36,1.78,1.13,18.98,18.36,23.17,2.32,2.02,1.78,0,0,0,0,0,0,93.92,90.28,97.05,3.4,-2.12,2.09,-2.16,-0.24,2.32,-0.91,0.3,-0.75,57.8,39.9,39.8,54.84%,"Streaming The Company’s filmed content library is now widely streaming across many OTT platforms, including Netflix, Amazon, Disney+ Hotstar, Jio, Sony Liv, Eros, and many other feature films are also available on the satellite platform of the Star TV Network. [1]"
D. B. Corp Limited (NSEI:DBCORP),NSEI:DBCORP,Publishing & Newspapers,Communication Services,"<td class="""">1,769</td>","<td class="""">2,129</td>","<td class="""">2,402</td>","<td class="""">1,463</td>","<td class="""">1,806</td>","<td class="""">1,779</td>",17,38,81,18,21,24,110,112,114,27%,26%,25%,62%,63%,21%,177,178,178,"1,705","1,770","2,043",199,213,253,456,418,518,"1,154","1,073","1,059",0,1,2,14,66,67,"1,369","1,439","1,864",371,243,579,-224,-143,-380,-155,-132,-194,"4,592",258,10.4,72.34%,Business Segments
HT Media Limited (NSEI:HTMEDIA),NSEI:HTMEDIA,Publishing & Newspapers,Communication Services,"<td class="""">1,500</td>","<td class="""">1,711</td>","<td class="""">1,695</td>","<td class="""">1,473</td>","<td class="""">1,848</td>","<td class="""">1,766</td>",176,151,128,55,76,78,135,132,119,-52%,30%,-35%,0%,0%,0%,46,46,46,"2,037","1,753","1,668",876,869,890,"1,416","1,469","1,498","1,209","1,138",956,20,37,18,"2,053","1,836","1,776","1,094","1,126","1,351",14,-47,-53,5,249,142,-32,-207,-57,455,19.6,,69.51%,"Business Overview: [1] HTML is a 69.5% subsidiary of Hindustan Times Limited, a KK Birla Group Company. Company, along with its subsidiaries and a Joint Venture including Hindustan Media Ventures Limited, are collectively referred to as the HT Group. It is in the business of print media."
Bharti Airtel Limited (BSE:532454),BSE:532454,Telecom (Wireless),Communication Services,"<td class="""">116,547</td>","<td class="""">139,145</td>","<td class="""">149,982</td>","<td class="""">59,013</td>","<td class="""">67,871</td>","<td class="""">71,691</td>","4,656","1,019","-3,428","16,616","19,300","22,648","33,091","36,432","39,538",33%,26%,32%,39%,27%,62%,"2,795","2,837","2,877","63,759","74,726","79,142","169,678","226,020","215,592","124,975","140,974","144,408","244,083","277,394","303,303","5,955","49,425","16,904","29,349","32,954","31,602","81,820","84,784","90,210","55,017","65,325","78,898","-41,478","-39,232","-51,089","-15,203","-24,470","-27,778","9,68,968","1,619",68.3,53.12%,"Segments & Presence [1] Mobile, Broadband, DTH and Bank. The company has operations in India, Africa, Bangladesh and Sri Lanka."
Indus Towers Limited (NSEI:INDUSTOWER),NSEI:INDUSTOWER,Telecom. Services,Communication Services,"<td class="""">27,717</td>","<td class="""">28,382</td>","<td class="""">28,601</td>","<td class="""">12,816</td>","<td class="""">18,713</td>","<td class="""">14,044</td>",458,85,"1,490","1,603","1,670","1,864","5,325","5,324","6,060",24%,26%,26%,47%,0%,0%,"2,695","2,695","2,695","19,456","18,415","24,344","19,726","19,185","20,531","6,091","6,278","8,298","31,826","32,384","39,300",179,355,422,"1,652",276,3,"14,311","13,559","16,143","9,121","7,905","11,582","-2,174","-1,730","-7,546","-5,982","-7,133","-3,996","95,576",355,9.65,50.00%,"Business Overview Indus Towers is a provider of tower and related infrastructure sharing services. It is one of the largest telecom tower companies in India based on the number of towers and co-locations operated by the Company. It provides access to its towers, primarily to wireless telecommunication service providers, on a shared basis under long-term contracts. [1]"
Alps Industries Limited (NSEI:ALPSINDUS),NSEI:ALPSINDUS,Apparel,Consumer Discretionary,"<td class="""">302</td>","<td class="""">17</td>","<td class="""">2</td>","<td class="""">317</td>","<td class="""">24</td>","<td class="""">3</td>",-3,2,4,61,55,59,5,0,0,0%,0%,0%,0%,0%,0%,39,39,39,-752,-812,-869,715,769,828,44,11,6,2,2,2,0,0,0,1,1,1,42,3,1,-59,38,42,102,0,0,-44,-39,-42,10.6,2.7,,22.21%,"Business Overview : [1] AIL manufactures home textile products, including bedding, window dressings, decorative pillows and accents, table linen, and kitchen linen. These products are made from vegetable-dyed fabrics, organic cotton, and recycled cotton fabrics."
Arvind Limited (BSE:500101),BSE:500101,Apparel,Consumer Discretionary,"<td class="""">8,010</td>","<td class="""">8,382</td>","<td class="""">7,738</td>","<td class="""">7,180</td>","<td class="""">7,554</td>","<td class="""">6,858</td>",13,100,42,197,192,193,254,253,266,38%,15%,24%,0%,37%,37%,261,262,262,"2,690","3,084","3,281","1,865","1,517","1,448","2,881","2,035","2,254","3,481","3,427","3,421",46,80,117,66,211,167,"4,104","3,180","3,539",595,666,696,-121,-135,-277,-439,-534,-419,"8,795",336,30.4,39.59%,"Leading Denim Manufacturer [1] Arvind is a leading manufacturer of denim and woven fabrics, with capacities of 100 million meters per annum (MMPA) and 150 MMPA, respectively, as of March 31, 2023. The company also produces cotton shirting, knits, Khakis, and technical textiles."
Asian Star Company Limited (BSE:531847),BSE:531847,Apparel,Consumer Discretionary,"<td class="""">4,423</td>","<td class="""">4,478</td>","<td class="""">3,523</td>","<td class="""">4,289</td>","<td class="""">4,327</td>","<td class="""">3,403</td>",2,-11,29,9,23,40,14,12,12,17%,21%,20%,3%,3%,3%,16,16,16,"1,297","1,418","1,493",691,628,741,428,446,462,228,218,223,0,1,0,83,64,80,"2,122","2,225","2,410",-176,94,-66,16,6,-4,132,-87,67,"1,236",772,16.9,74.66%,"Business Overview: [1] [2] [3] a) ASCL procures rough diamonds at group level and processes it into cut and polished diamonds in their manufacturing facility in Surat, Gujarat. The polished diamonds are then sold across the globe b) Company is focused on Cutting and Polishing of Diamonds (CPDs) small size diamonds (less than 1 carat) which are used in studded jewelry. c) Company also manufactures diamond-studded gold and platinum jewelry. d) ASCL is partially integrated across the G&J value chain from procurement of rough diamonds, diamond cutting & polishing to jewelry manufacturing and distribution to retailers all over the world e) Company is also engaged in ownership, operation and maintenance of wind turbines for generation of electricity through wind power in India."
Bang Overseas Limited (BSE:532946),BSE:532946,Apparel,Consumer Discretionary,"<td class="""">83</td>","<td class="""">117</td>","<td class="""">134</td>","<td class="""">78</td>","<td class="""">113</td>","<td class="""">142</td>",2,2,3,1,1,2,2,1,1,2%,67%,-1%,0%,0%,0%,14,14,14,83,84,76,28,33,30,20,34,39,18,18,19,0,0,0,0,0,0,126,146,139,-14,11,-13,10,-16,17,4,4,-4,84,62,,52.70%,"Brands They have 3 brands in their portfolio: Thomas Scott - Formal shirts, Semi-formal, and Business casual shirts [1] Italian Gold - Sourcing facility of Bang overseas Ltd. It has a tie up with Roberto Ferrari to solely market its premium fabric in India. This gives it the made-in-Italy label [2] Hammersmith - Shirts that are branded into 4 categories: Dress Shirts Luxury, Dress Shirts Exotica, Dress Shirts Classic, and Smart Shirts [3]"
Garnet International Limited (BSE:512493),BSE:512493,Apparel,Consumer Discretionary,"<td class="""">43.84</td>","<td class="""">59.33</td>","<td class="""">20.31</td>","<td class="""">43.56</td>","<td class="""">53.39</td>","<td class="""">21.67</td>",0,0,-4.59,0.33,1.18,0.01,0.81,0.94,0,45.35%,14.66%,0.50%,0.00%,0.00%,0.00%,19.64,19.64,19.64,9.51,12.36,7.73,11.07,21.6,4.93,12.76,11.19,1.67,10.15,11.88,0.01,2.35,8.74,0.8,6.33,6.5,13.89,34.15,37.67,19.27,-3.65,-0.62,6.69,0.17,-8.48,10.06,3.51,9.36,-16.67,268,136,77.2,49.30%,Business Overview: [1] Company is an investment company registered as a Non-Banking Financial Corporation under the Reserve Bank Of India. Company's textile business consists of sales of garments and dyeing through its subsidiary Sukartik Clothing Private Limited.
Goldiam International Limited (BSE:526729),BSE:526729,Apparel,Consumer Discretionary,"<td class="""">688</td>","<td class="""">533</td>","<td class="""">603</td>","<td class="""">558</td>","<td class="""">429</td>","<td class="""">488</td>",25,21,14,1,0,0,5,7,6,29%,27%,26%,12%,26%,14%,22,22,21,498,564,609,4,3,5,108,114,98,42,45,45,0,0,0,140,138,168,450,519,519,-10,65,107,95,-2,-28,-90,-31,-54,"4,577",429,48.5,62.38%,"Product Portfolio Co is a supplier of Natural diamond jewellery and Lab grown diamond (LGD) jewellery to global retailers, departmental stores and wholesalers. Its products include Engagement Rings, Wedding Bands, Anniversary Rings, Bridal Sets, Earrings and Pendants. [1] [2] Goldiam has been transitioning from a pure natural diamond in-store jewelry company to a major supplier of Lab Grown Diamond Jewellery, with an omnichannel sales strategy. [3]"
Himatsingka Seide Limited (NSEI:HIMATSEIDE),NSEI:HIMATSEIDE,Apparel,Consumer Discretionary,"<td class="""">3,184</td>","<td class="""">2,678</td>","<td class="""">2,841</td>","<td class="""">2,652</td>","<td class="""">2,407</td>","<td class="""">2,240</td>",18,75,15,181,257,296,158,164,158,33%,-15%,31%,4%,0%,2%,49,49,49,"1,420","1,400","1,510","2,922","2,806","2,898","1,236","1,262","1,321","3,176","3,084","2,947",44,30,32,13,10,2,"2,394","2,394","2,796",68,354,322,-141,-10,-118,121,-401,-228,"1,940",154,20,37.24%,"Business [1] Himatsingka is a vertically integrated global textile major that designs, develops, manufactures and distributes textile products. With 4 manufacturing facilities, its installed capacities for Bedding Products, Bath Products and Cotton Yarn Products are amongst the largest in the world."
K G Denim Limited (BSE:500239),BSE:500239,Apparel,Consumer Discretionary,"<td class="""">610</td>","<td class="""">530</td>","<td class="""">263</td>","<td class="""">583</td>","<td class="""">533</td>","<td class="""">264</td>",6,5,6,25,23,26,16,16,15,12%,-25%,-28%,0%,0%,0%,26,26,26,48,21,-3,225,200,218,182,158,164,165,152,138,0,0,0,3,3,3,312,249,264,21,50,8,-3,-3,-1,-22,-48,-7,60.4,23.6,,58.73%,"Business Overview: [1] [2] [3] KGDL is the flagship company of the KG Group is an integrated textile apparel and branded apparel player in India. It manufactures Denim Fabric, Apparel Fabric, Readymade Garments, and Home Textile products. Presence across the entire value chain Co. has a direct presence in weaving, dyeing, and garmenting segments and does branded retailing and apparel business through its wholly owned subsidiary, Trigger Apparel Ltd. own retail outlets under its Trigger brand and distributors spread across the country."
Morarjee Textiles Limited (BSE:532621),BSE:532621,Apparel,Consumer Discretionary,"<td class="""">194</td>","<td class="""">272</td>","<td class="""">207</td>","<td class="""">191</td>","<td class="""">266</td>","<td class="""">259</td>",1,1,-31,55,72,80,23,23,22,-17%,0%,0%,0%,0%,0%,25,25,25,-30,-119,-304,517,525,515,145,195,267,432,410,388,0,0,0,1,0,0,224,217,116,-98,18,8,0,0,0,103,-6,-22,30.9,8.5,,59.71%,"Business Overview: [1] Company offers premium and high-value niche product segments with 2 divisions viz. Premium Yarn dyed shirting division and Fashion fabric division (for voile, satin, poplin, and other high-end products). It provides spinning, yarn-dyeing, weaving, printing, processing, inspection, and packing facilities with technical collaboration with a Swiss company for finishing, and a Japanese company for printing."
Prag Bosimi Synthetics Limited (BSE:500192),BSE:500192,Apparel,Consumer Discretionary,"<td class="""">4</td>","<td class="""">1</td>","<td class="""">0</td>","<td class="""">7</td>","<td class="""">3</td>","<td class="""">4</td>",-12,0,3,6,6,6,5,4,4,0%,4%,0%,0%,0%,0%,77,77,77,-61,-74,-85,172,175,175,51,56,61,177,172,168,28,31,31,0,0,0,34,32,28,-3,0,1,-4,-3,-1,7,2,-1,19.5,2.62,,48.18%,"Business Overview: [1] PBSL is a Joint Sector Company and only industrial venture of public – private initiative in North East India promoted by the Govt of Assam through Assam Industrial Development Corporation Limited (AIDC). Company's main product Polyester Filament Yarn (Texturised, Dyed, Dope Dyed) Polyester Partially Oriented Yarn (POY) is manufactured from petrochemical feed stock which can be either PTA (Purified Terephthalic Acid) or DMT (Di-Methyl Terepthalate). PBSL's plant has been designed to use both PTA and DMT as Raw Material (dual feed capacity). Apart from this, PBSL has its own packaging unit, comprising of Corrugated Carton manufacturing plant, Paper Tube manufacturing plant and all Plastic Packaging accessories manufacturing plant"
Rajesh Exports Limited (NSEI:RAJESHEXPO),NSEI:RAJESHEXPO,Apparel,Consumer Discretionary,"<td class="""">243,128</td>","<td class="""">339,690</td>","<td class="""">280,676</td>","<td class="""">241,949</td>","<td class="""">338,054</td>","<td class="""">280,348</td>",40,24,242,90,81,139,91,101,64,3%,3%,9%,3%,0%,0%,30,30,30,"12,416","14,694","15,217",815,723,655,"10,655","7,428","6,170","1,449","2,038","2,071",6,38,9,"1,113","1,241","1,292","21,348","19,557","18,700",-4,457,316,86,10,69,-326,-186,-208,"5,532",187,144,54.55%,"Business Overview The company is a gold refiner, manufacturer,, and exporter of gold products. It is the only company in the world with a presence across the entire gold value chain from refining to retailing, **processing 35% of gold produced worldwidedia.com/xml-data/corpfiling/AttachHis/4ede53b6-cf59-4f98-b184-bc3807d26740.pdf#page=77 #} [1]"
Renaissance Global Limited (BSE:532923),BSE:532923,Apparel,Consumer Discretionary,"<td class="""">2,190</td>","<td class="""">2,237</td>","<td class="""">2,107</td>","<td class="""">2,014</td>","<td class="""">2,063</td>","<td class="""">1,943</td>",30,4,10,35,51,59,35,32,30,22%,7%,14%,15%,0%,0%,19,19,19,905,"1,007","1,129",706,611,655,372,283,222,218,258,258,9,2,1,74,99,119,"1,700","1,562","1,647",86,229,-41,-115,-66,-23,30,-217,-17,"1,538",160,20.7,58.83%,"Business Overview: [1] RGL designs, manufactures, and supplies branded jewellery in USA, Canada, UK & key Asian markets. Company operates through B2B and D2C models. It has launched online stores through 7 D2C websites to market & supply licensed brands and owned brands"
S.P. Apparels Limited (NSEI:SPAL),NSEI:SPAL,Apparel,Consumer Discretionary,"<td class="""">859</td>","<td class="""">1,078</td>","<td class="""">1,087</td>","<td class="""">707</td>","<td class="""">935</td>","<td class="""">929</td>",9,23,16,12,19,19,35,36,38,26%,26%,24%,0%,9%,0%,26,25,25,612,649,739,231,245,203,193,179,175,450,459,454,8,10,19,0,113,51,604,515,618,27,216,79,-29,-160,6,24,-48,-67,"1,925",767,22.4,61.93%,Business Segments
Sarla Performance Fibers Limited (BSE:526885),BSE:526885,Apparel,Consumer Discretionary,"<td class="""">426</td>","<td class="""">387</td>","<td class="""">383</td>","<td class="""">347</td>","<td class="""">331</td>","<td class="""">325</td>",17,10,21,5,5,6,27,30,28,28%,34%,27%,35%,0%,0%,8,8,8,384,387,420,135,109,137,100,77,85,232,259,240,16,0,0,51,125,194,329,196,216,37,102,31,-26,-56,-56,-18,-46,24,670,80.2,12,56.70%,"Business Overview: [1] SPFL is an ISO 9001:2015, Oeko Tex  Standard certified and 100% EOU engaged in manufacturing and export of polyester and nylon textured, twisted and dyed yarns, covered yarns, high tenacity yarns and sewing thread. It has nylon and polyester product range of over 250 varieties of value added yarns  and threads"
Swan Energy Limited (BSE:503310),BSE:503310,Apparel,Consumer Discretionary,"<td class="""">487</td>","<td class="""">1,438</td>","<td class="""">5,017</td>","<td class="""">419</td>","<td class="""">1,207</td>","<td class="""">4,149</td>",7,11,82,189,223,226,70,81,115,-14%,-2%,4%,-2%,-7%,1%,26,26,31,"1,219","2,257","6,248","4,117","4,985","3,449","1,035","2,954","2,439","2,238","4,225","4,148","2,389","3,253","3,657",3,30,134,"1,768","2,715","4,229",29,-235,26,-494,"-1,116",-512,"1,309",598,"1,604","16,692",532,50.2,53.96%,"Business Segments 1) Distribution & Development (74% in H1 FY25 vs 21% in FY23): [1] [2] In January 2023, the company completed the acquisition of a majority stake in Veritas India Ltd (VIL) for Rs. 260 Cr. VIL trades and distributes chemicals and petrochemical products used in paint, oil refining, etc. It operates a terminal in Hamriyah, UAE, with a capacity of 1,70,000 MT. [3] [4]"
Uniroyal Industries Limited (BSE:521226),BSE:521226,Apparel,Consumer Discretionary,"<td class="""">98</td>","<td class="""">112</td>","<td class="""">98</td>","<td class="""">92</td>","<td class="""">109</td>","<td class="""">95</td>",0,0,2,2,2,2,2,2,2,16%,-7%,-36%,0%,0%,0%,8,8,8,11,10,11,20,23,22,10,10,10,22,20,18,0,0,0,0,0,0,27,31,33,3,-2,2,1,0,1,-4,2,-2,17.4,21,7.87,55.34%,"Business Overview: [1] Company focuses on indigenous as well as foreign textile markets. Company manufactures computerized Woven Labels and Narrow Fabrics in “Taffeta' & “Satin' weaves, printed labels and plastic seals. Company meets the demands of garment manufacturers and exporters, furnishing industry, shoe industry and toy industry."
V.I.P. Industries Limited (BSE:507880),BSE:507880,Apparel,Consumer Discretionary,"<td class="""">1,290</td>","<td class="""">2,082</td>","<td class="""">2,245</td>","<td class="""">1,143</td>","<td class="""">1,765</td>","<td class="""">2,047</td>",36,-16,37,26,31,59,70,74,99,22%,22%,29%,53%,42%,52%,28,28,28,531,613,650,298,352,871,371,421,517,265,309,532,7,15,14,42,23,3,915,"1,067","1,518",-24,175,-132,146,-84,-76,-126,-75,218,"5,263",371,,51.74%,"Market Leadership The company is Asia’s leading and the world’s 2nd-largest manufacturer and retailer of luggage, backpacks, and handbags. It is an established leader in the organized and oligopolistic Indian luggage market with a ~38% market share. [1]"
