Name,Ticker,Sub-Industry,Industry,sales_2022,sales_2023,sales_2024,expenses_2022,expenses_2023,expenses_2024,other_income_2022,other_income_2023,other_income_2024,interest_2022,interest_2023,interest_2024,depreciation_2022,depreciation_2023,depreciation_2024,tax%_2022,tax%_2023,tax%_2024,div_payout%_2022,div_payout%_2023,div_payout%_2024,equity_capital_2022,equity_capital_2023,equity_capital_2024,reserves_2022,reserves_2023,reserves_2024,borrowings_2022,borrowings_2023,borrowings_2024,CL_2022,CL_2023,CL_2024,fixed_assets_2022,fixed_assets_2023,fixed_assets_2024,cwip_2022,cwip_2023,cwip_2024,investments_2022,investments_2023,investments_2024,other_assets_2022,other_assets_2023,other_assets_2024,cfo_2022,cfo_2023,cfo_2024,cfi_2022,cfi_2023,cfi_2024,cff_2022,cff_2023,cff_2024,MCap,Price,P/E,PromoterHold,About,MCap_category,EBIT_2024,EBIT_2023,EBIT_2022,operating_margin_24,operating_margin_23,operating_margin_22,avg_operating_margin,shares_outstanding,P/R,cash,CA_2024,CA_2023,CA_2022,Change_WC_24-23,Change_WC_23-22,Reinv_rate_24,Reinv_rate_23,Equity_2024,Equity_2023,Equity_2022,invested_capital_2024,invested_capital_2023,invested_capital_2022,ROC_2024,ROC_2023,ROC_2022,sales_to_capital_24-23,sales_to_capital_23-22,debt%_2024,debt%_2023,debt%_2022,Kd,Beta,Ke,WACC,asset_turnover,capex/revenue,Revenue Growth Rates,Forecasted Revenues,Comparison with Biggest Player,Operating Margin Forecast,Forecasted EBIT,growth in operating income,sales/capital scenario 1,sales/capital scenario 2,sales/capital scenario 3,Industry ROIC,Forecasted Reinvestment Scenario 1,Forecasted Reinvestment Scenario 2,Forecasted Reinvestment Scenario 3,Year 10 ROIC(1),Year 10 ROIC(2),Year 10 ROIC(3),total_reinvestment(1),total_reinvestment(2),total_reinvestment(3),best_scenario,fcff,PV_FCFF,share_price
Vibrant Global Capital Limited (BSE:538732),BSE:538732,Financial Svcs. (Non-bank & Insurance),Financials,282,197,242,223,193,183,1,0,0,8,6,6,2,2,2,9%,78%,5%,0%,0%,10%,23,23,23,93,85,130,60,43,31,25,21,11,26,25,26,1,0,2,96,85,107,77,62,59,21,20,31,5,7,-11,-33,-20,-21,128,56,4.31,71.29,"Business Overview: [1] [2] Company is a part of Vibrant Global Group which operates companies in manufacturing of Iodized Edible Salt, Trading of steel products and polyester films, etc. It is a Non Systematically Important Non Deposit Taking Non Banking Financial Company",Micro,65,10,67,0.268595041,0.050761421,0.237588652,0.185648372,2.285714286,0.52892562,66,168,147,174,31,-23,0.307692308,-1.6,153,108,116,184,151,176,0.35326087,0.066225166,0.380681818,1.363636364,3.4,0.168478261,0.284768212,0.340909091,15.54722014,1.6,17.1,16.83839035,1.24742268,0.045454545,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[254, 267, 280, 294, 309, 324, 341, 358, 375, 394, 414]",FALSE,"[0.27, 0.3, 0.32, 0.35, 0.38, 0.41, 0.44, 0.47, 0.49, 0.52, 0.55]","[48.01, 56.07, 62.72, 72.03, 82.19, 92.99, 105.03, 117.78, 128.62, 143.42, 159.39]",159.11,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0086,"[10.0, 8.67, 6.84, 6.09, 5.56, 5.56, 6.3, 6.3, 6.3, 7.04, 926.69]","[8.89, 10.83, 12.38, 15.56, 20.0, 23.08, 30.91, 37.78, 48.57, 63.33, 926.69]","[9.23, 8.12, 6.5, 5.83, 6.0, 6.0, 6.8, 8.1, 10.0, 14.62, 926.69]",0.5676,0.315,0.5408,995.35,1198.02,1007.89,2,"[39.12, 45.24, 50.339999999999996, 56.47, 62.19, 69.91, 74.12, 80.0, 80.05000000000001, 80.08999999999999, -767.3000000000001]","[33.48214562269622, 33.13992077729115, 31.561418623310573, 30.302295359563946, 28.562270700153206, 27.480581037034565, 24.93655494828557, 23.03591490135555, 19.728372052403476, 16.893616916612835, -1367.1522778722983]",-439.2627693
Edelweiss Financial Services Limited (NSEI:EDELWEISS),NSEI:EDELWEISS,Investments & Asset Management,Financials,7151,8500,9523,3947,5667,6252,158,264,79,2984,2575,2786,151,138,126,7%,-5%,-21%,69%,39%,32%,90,90,90,6448,6654,4672,22768,21791,20358,13758,15346,17594,1597,1367,1290,20,25,36,14139,17162,18491,27307,25327,22897,5592,2891,2894,-1058,-425,-482,-6444,-1708,-2785,9772,103,21.1,32.72,"Business Overview : [1] Company is in the business of providing investment banking services and holding company activities comprising development, managerial and financial support to the business. EFSL has a client base of 1.2 million that is serviced through a network of 476 offices, with close to 11,000 employees. Company is present in 3 categories: a) Credit (Retail, Corporate) b) Investment & Advisory (Wealth Management, Asset Management) c) Insurance (Life, General)",Mid,6057,5408,6188,0.636039063,0.636235294,0.86533352,0.712535959,94.87378641,1.026147223,25177,41424,42514,41466,-3338,-540,-0.630675252,-0.178439349,4762,6744,6538,25120,28535,29306,0.241122611,0.18952164,0.2111513,-0.299560761,-1.749675746,0.810429936,0.763658665,0.776905753,12.86931892,1.2,14.7,13.21636125,0.22294798,0.050614302,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[9999, 10499, 11024, 11575, 12154, 12762, 13400, 14070, 14773, 15512, 16288]",TRUE,"[0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64, 0.64]","[4479.55, 4703.55, 4938.75, 5185.6, 5444.99, 5717.38, 6003.2, 6303.36, 6618.3, 6949.38, 7297.02]",4024.96,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0542,"[396.67, 333.33, 276.32, 239.57, 214.44, 225.19, 236.3, 248.15, 260.37, 273.7, 6731.57]","[352.59, 416.67, 500.0, 612.22, 772.0, 935.38, 1160.0, 1488.89, 2008.57, 2463.33, 6731.57]","[366.15, 312.5, 262.5, 229.58, 231.6, 243.2, 255.2, 319.05, 413.53, 568.46, 6731.57]",0.2498,0.194,0.2454,9435.61,17441.22,9933.34,1,"[4082.88, 4370.22, 4662.43, 4946.030000000001, 5230.55, 5492.1900000000005, 5766.9, 6055.21, 6357.93, 6675.68, 565.4500000000007]","[3606.2632245575496, 3409.454624586421, 3212.8078080488704, 3010.3706813850167, 2811.909860853034, 2607.896774394531, 2418.6780991649443, 2243.1363248236003, 2080.3337184750008, 1929.316968865977, 1988.944919162398]",601.1683012
Industrial And Prudential Investment Company Limited (BSE:501298),BSE:501298,Investments & Asset Management,Financials,7,7,6,1,1,1,32,39,45,0,0,0,0,0,0,4%,2%,2%,23%,23%,31%,2,2,2,617,618,768,0,0,0,26,19,32,0,0,0,0,0,0,637,632,794,8,7,7,4,11,14,1,-3,-4,-5,-8,-10,888,5300,16.8,68.17,Business Overview: [1] IPICL is a Non Systematically Important Non-Deposit Taking Non-Banking Finance Corporation. It is engaged primarily in investments in equity shares for a long -term value creation for the stakeholder,Small,5,6,6,0.833333333,0.857142857,0.857142857,0.849206349,0.16754717,148,7.333333333,801,639,645,149,1,29,-0.333333333,770,620,619,770,620,619,0.006493506,0.009677419,0.009693053,-0.006666667,0,0,0,0,,1.4,15.9,,0.007490637,0.666666667,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[6, 7, 7, 7, 8, 8, 8, 9, 9, 10, 10]",FALSE,"[0.83, 0.81, 0.79, 0.78, 0.76, 0.74, 0.72, 0.7, 0.68, 0.66, 0.64]","[3.49, 3.97, 3.87, 3.82, 4.26, 4.14, 4.03, 4.41, 4.28, 4.62, 4.48]",1.41,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0542,"[0.0, 0.67, 0.0, 0.0, 0.37, 0.0, 0.0, 0.37, 0.0, 0.37, 4.13]","[0.0, 0.83, 0.0, 0.0, 1.33, 0.0, 0.0, 2.22, 0.0, 3.33, 4.13]","[0.0, 0.62, 0.0, 0.0, 0.4, 0.0, 0.0, 0.48, 0.0, 0.77, 4.13]",0.006,0.0059,0.006,5.91,11.84,6.4,1,"[3.49, 3.3000000000000003, 3.87, 3.82, 3.8899999999999997, 4.14, 4.03, 4.04, 4.28, 4.25, 0.35000000000000053]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Tata Investment Corporation Limited (BSE:501301),BSE:501301,Investments & Asset Management,Financials,254,277,385,25,32,33,18,36,65,0,8,11,1,1,1,13%,8%,5%,130%,96%,37%,51,51,51,19625,19521,29915,0,240,0,1314,1277,2905,16,15,14,0,0,0,20893,21009,32485,82,65,371,122,230,235,4,-189,366,-122,-47,-495,29114,5754,79,73.38,"Investment Portfolio The company has a diversified investment portfolio consisting of investments in companies in the form of equity & bonds. They have invested in 85 companies as on 31st March, 2023, out of which 62 are Quoted and 23 are unquoted companies. [1] The company invests in Tata and non-Tata companies, though investments in Tata companies constitute a larger portion of company's portfolio. [2]",Large,363,253,229,0.942857143,0.913357401,0.901574803,0.919263116,5.059784498,75.62077922,172.6666667,32856,21074,20975,10154,136,28.98071625,-0.209486166,29966,19572,19676,29966,19812,19676,0.012113729,0.012770038,0.011638544,0.010636202,0.169117647,0,0.01211387,0,,1,13.5,,0.011712808,-0.950649351,"[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]","[404, 424, 446, 468, 491, 516, 542, 569, 597, 627, 658]",FALSE,"[0.94, 0.91, 0.88, 0.85, 0.82, 0.79, 0.76, 0.73, 0.7, 0.67, 0.64]","[265.83, 270.09, 274.74, 278.46, 281.83, 285.35, 288.34, 290.76, 292.53, 294.06, 294.78]",41.36,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.0542,"[15.83, 13.33, 11.58, 9.57, 8.52, 9.26, 9.63, 10.0, 10.37, 11.11, 271.94]","[14.07, 16.67, 20.95, 24.44, 30.67, 38.46, 47.27, 60.0, 80.0, 100.0, 271.94]","[14.62, 12.5, 11.0, 9.17, 9.2, 10.0, 10.4, 12.86, 16.47, 23.08, 271.94]",0.0098,0.0097,0.0098,381.14,704.47,401.24,1,"[249.99999999999997, 256.76, 263.16, 268.89, 273.31, 276.09000000000003, 278.71, 280.76, 282.15999999999997, 282.95, 22.839999999999975]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan]",
Biocon Limited (NSEI:BIOCON),NSEI:BIOCON,Drugs (Biotechnology),Health Care,8184,11174,14756,6391,8762,11540,72,18,853,68,419,974,814,"1,113","1,569",22%,28%,15%,9%,39%,6%,600,600,600,7832,17267,19183,5147,18019,16277,6763,15856,19693,6569,29468,30644,4110,7317,7993,1588,2069,1000,8074,12888,16117,1177,1852,2954,-1662,-14260,-1002,242,13049,-2333,43246,360,30,60.64,"Business Segments 1.Biosimilars (~60% in FY24 vs ~50% in FY23): [1] Managed by Biocon Biologics, this segment has a portfolio of 20 biosimilars spanning across oncology, immunology, diabetes and other therapeutic areas. [2] It has gained market share in its key products, including bTrastuzumab, bPegfilgrastim, bGlargine, and bBevacizumab in the advanced markets. [3] [4] It has a pipeline of 20+ molecules to be launched by 2030. [5]",Large,4190,2831,1861,0.283952291,0.253356005,0.227394917,0.254901071,120.1277778,2.930740038,12359.66667,25110,22274,13772,-1001,-591,-0.478042959,-5.245849523,19783,17867,8432,36060,35886,13579,0.11619523,0.078888703,0.137049856,20.5862069,0.134038643,0.451386578,0.502117818,0.379041167,3.210128298,1,13.5,8.855290025,0.264662625,0.067904581,"[140, 126, 113, 100, 86, 72, 59, 46, 32, 18, 5]","[35414, 80037, 170478, 340956, 634178, 1090785, 1734349, 2532149, 3342437, 3944076, 4141279]",TRUE,"[0.28, 0.28, 0.28, 0.27, 0.27, 0.27, 0.26, 0.26, 0.26, 0.25, 0.25]","[6941.14, 15687.25, 33413.69, 64440.68, 119859.64, 206158.36, 315651.52, 460851.12, 608323.53, 690213.3, 724723.82]",1025403.83,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1162,"[17215.0, 29748.67, 47600.53, 74120.87, 108600.74, 169113.7, 238357.04, 295481.48, 300106.67, 222829.26, 311843.3]","[15302.22, 37185.83, 86134.29, 189420.0, 390962.67, 702472.31, 1170116.36, 1772888.89, 2315108.57, 2005463.33, 311843.3]","[15890.77, 27889.38, 45220.5, 71032.5, 117288.8, 182642.8, 257425.6, 379904.76, 476640.0, 462799.23, 311843.3]",0.4484,0.0791,0.333,1815017.26,8996897.77,2348577.64,3,"[-8949.630000000001, -12202.130000000001, -11806.809999999998, -6591.82, 2570.8399999999965, 23515.559999999998, 58225.92000000001, 80946.35999999999, 131683.53000000003, 227414.07000000007, 412880.51999999996]","[-8221.584819567799, -10297.613065860955, -9153.43194071372, -4694.692838840205, 1682.005270629718, 14133.772289550676, 32149.15663984483, 41058.30440650403, 61360.03616180119, 97346.85794504826, 4584288.553038061]",40056.10625
Transgene Biotek Limited (BSE:526139),BSE:526139,Drugs (Biotechnology),Health Care,0.09,0.06,0.23,0.55,0.68,0.83,0.21,0.18,0.18,0.23,0.62,0.14,9.92,4.95,0.09,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,75.77,75.77,75.77,-58.39,-64.4,-65.06,12.01,13.11,14,117.71,117.87,117.62,11.4,6.45,6.36,1.87,1.87,1.87,0.1,0.1,0.1,133.73,133.93,134,0.1,0,0,-0.1,-0.01,0,0,0,0,34.6,4.56,,23.64,Business Expertise: [1] Company is in production and oral formulation of different proteins using TrabiORAL technology a) Oncology [2] b) Auto Immunity [3] c) Drug Delivery [4] d) Biogenerics [5],Nano,-0.46,-1.11E-16,-0.23,-2,-1.85E-15,-2.555555556,-1.518518519,7.587719298,150.4347826,133.8866667,135.97,135.9,135.7,0.32,0.04,-0.695652174,-2.70216E+14,10.71,11.37,17.38,24.71,24.48,29.39,-0.018615945,-4.54E-18,-0.007825791,0.739130435,0.00610998,0.566572238,0.535539216,0.408642395,2.548095038,1.8,18.3,9.375407954,0.001615963,0,"[140, 126, 113, 100, 86, 72, 59, 46, 32, 18, 5]","[1, 1, 3, 5, 10, 17, 27, 39, 52, 61, 65]",FALSE,"[-2.0, -0.67, 0.02, 0.02, 0.05, 0.09, 0.12, 0.15, 0.18, 0.22, 0.25]","[-1.4, -0.47, 0.04, 0.07, 0.35, 1.07, 2.27, 4.09, 6.55, 9.39, 11.38]",18.26,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1162,"[0.64, 0.0, 1.05, 0.87, 1.85, 2.59, 3.7, 4.44, 4.81, 3.33, 4.9]","[0.57, 0.0, 1.9, 2.22, 6.67, 10.77, 18.18, 26.67, 37.14, 30.0, 4.9]","[0.59, 0.0, 1.0, 0.83, 2.0, 2.8, 4.0, 5.71, 7.65, 6.92, 4.9]",0.1957,0.0591,0.1671,28.18,139.02,36.4,1,"[-2.04, -0.47, -1.01, -0.8, -1.5, -1.5199999999999998, -1.4300000000000002, -0.35000000000000053, 1.7400000000000002, 6.0600000000000005, 6.48]","[-1.8651359004435204, -0.39287870188099117, -0.7719022664913044, -0.5589992734873437, -0.9582808945800463, -0.8878211211664616, -0.7636568228041815, -0.1708876026809101, 0.7767335696072191, 2.4732941217234803, 60.444890488390186]",41.01522606
Bal Pharma Limited (BSE:524824),BSE:524824,Drugs (Pharmaceutical),Health Care,281,304,339,257,279,307,5,1,3,11,12,15,9,9,10,38%,45%,18%,26%,61%,26%,15,16,16,44,48,53,104,131,140,98,116,108,67,76,77,2,0,0,0,0,7,192,235,233,27,-2,23,-9,-22,-19,-17,24,-1,167,105,22,50.87,"Business Overview : [1] BALPL is a fully integrated pharmaceuticals company specialising in Bulk Drugs, Prescription Drugs, Generics, Pharma intermediates, and Ayurvedic products. Company focuses on therapeutic areas viz. Anti-diabetes, Anti-histamine, Anti-inflammatory, Acne Treatment, Gastroenterology, Cardiology, and dermatology. Company is one of Gliclazide's largest producers and exporters, a medicine to treat type-2 diabetes.",Micro,47,37,35,0.138643068,0.121710526,0.12455516,0.128302918,1.59047619,0.492625369,220,240,235,194,13,23,-0.127659574,0.027027027,69,64,59,209,195,163,0.224880383,0.18974359,0.214723926,2.5,0.71875,0.669856459,0.671794872,0.63803681,10.15050471,1.6,17.1,12.44483569,1.069400631,0.056047198,"[8, 7, 7, 7, 6, 6, 6, 6, 6, 5, 5]","[366, 392, 419, 449, 475, 504, 534, 566, 600, 630, 662]",FALSE,"[0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.15, 0.15, 0.15, 0.15, 0.15]","[35.87, 38.42, 41.06, 44.0, 46.55, 49.39, 56.07, 59.43, 63.0, 66.15, 69.51]",48.06,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1409,"[22.5, 17.33, 14.21, 13.04, 9.63, 10.74, 11.11, 11.85, 12.59, 11.11, 24.67]","[20.0, 21.67, 25.71, 33.33, 34.67, 44.62, 54.55, 71.11, 97.14, 100.0, 24.67]","[20.77, 16.25, 13.5, 12.5, 10.4, 11.6, 12.0, 15.24, 20.0, 23.08, 24.67]",0.1928,0.0929,0.1816,158.78,527.47,180.01,1,"[13.369999999999997, 21.090000000000003, 26.85, 30.96, 36.919999999999995, 38.65, 44.96, 47.58, 50.41, 55.040000000000006, 44.84]","[11.8902748336317, 16.680057805941704, 18.885380854186412, 19.366132339331642, 20.538282417996108, 19.12107976487968, 19.781066515985547, 18.61694108020814, 17.541271472118584, 17.032691617539804, 186.38688269572177]",426.8156075
Fermenta Biotech Limited (BSE:506414),BSE:506414,Drugs (Pharmaceutical),Health Care,397,349,335,335,330,307,8,-20,4,18,21,17,26,28,25,44%,4%,143%,23%,-7%,-16%,14,14,14,358,301,274,239,220,139,96,102,120,299,267,269,35,45,2,0,3,0,373,321,277,43,116,105,-26,-55,-16,-22,-41,-91,1105,376,135,62.06,"Business Overview: [1] [2] a) FBL is engaged in development and manufacturing of pharmaceuticals, biotechnology and environmental solutions used across various industries. It is a global player in manufacturing of Vitamin D3 in all its formats and has a non-China dependent supply chain. b) Company is involved in manufacturing of APIs for muscle relaxant and anti-flatulent applications. It delivers innovative enzymes used in manufacturing of active pharmaceutical ingredients and is involved in environmental solutions used for waste water treatment & management. c) Also, company has strategic investments in subsidiaries / associate companies primarily dealing in manufacturing and marketing bulk drugs and providing services of sporting and health awareness activities / education activities. d) Company also deals in lease rental business for ITES properties developed in Than",Small,45,40,80,0.134328358,0.114613181,0.201511335,0.150150958,2.938829787,3.298507463,323.6666667,279,369,408,-108,-45,-2.755555556,-2.5,288,315,372,427,535,611,0.105386417,0.074766355,0.130932897,0.12962963,0.631578947,0.325526932,0.411214953,0.391162029,9.769017042,1.4,15.9,13.90419993,0.611313869,0.047761194,"[8, 7, 7, 7, 6, 6, 6, 6, 6, 5, 5]","[362, 387, 414, 443, 470, 498, 528, 560, 593, 623, 654]",FALSE,"[0.13, 0.14, 0.14, 0.14, 0.14, 0.14, 0.14, 0.15, 0.15, 0.15, 0.15]","[32.94, 37.93, 40.57, 43.41, 46.06, 48.8, 51.74, 58.8, 62.26, 65.41, 68.67]",51.04,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1409,"[22.5, 16.67, 14.21, 12.61, 10.0, 10.37, 11.11, 11.85, 12.22, 11.11, 24.37]","[20.0, 20.83, 25.71, 32.22, 36.0, 43.08, 54.55, 71.11, 94.29, 100.0, 24.37]","[20.77, 15.62, 13.5, 12.08, 10.8, 11.2, 12.0, 15.24, 19.41, 23.08, 24.37]",0.1169,0.0707,0.1126,157.02,522.16,178.07,1,"[10.439999999999998, 21.259999999999998, 26.36, 30.799999999999997, 36.06, 38.43, 40.63, 46.949999999999996, 50.04, 54.3, 44.3]","[9.16559706023978, 16.38640877030004, 17.837179891886567, 18.29750038614085, 18.807325153962957, 17.596729466380822, 16.333101358971668, 16.569816296887875, 15.504567644218836, 14.770746707947161, 135.3354105548268]",258.0180224
Indoco Remedies Limited (NSEI:INDOCO),NSEI:INDOCO,Drugs (Pharmaceutical),Health Care,1541,1669,1817,1213,1381,1572,2,1,20,14,25,38,79,71,92,35%,26%,29%,13%,15%,14%,18,18,18,886,1010,1091,257,333,672,325,297,363,555,678,954,122,114,125,0,2,9,809,864,1057,174,179,157,-121,-208,-433,-44,23,280,2285,248,,58.8,"Business Segments A) Domestic Formulations (48% of FY24 revenue) [1] Indoco Remedies Ltd holds a strong foothold across various therapeutic categories, including Gastroenterology, Dentistry & Stomatology, Respiratory, Diabetology, Women's Health, Nutritional Products, Cardiology, Metabolic Disorders, and Primary Care medicines. In FY24, the domestic business crossed 1,280 Cr, ranking 31st in India (IQVIA MAT 2023-24). The company enjoys prescription patronage from over 240,000 prescribers, with 106 million prescriptions annually, and ranks 22nd in the Indian Pharmaceutical Market (IQVIA). It has 45 products ranking among the top 5 in their respective sub-segments.",Small,283,313,342,0.155751238,0.187537448,0.221933809,0.188407498,9.213709677,1.257567419,910,1191,980,931,145,77,-1.017667845,-0.418530351,1109,1028,904,1781,1361,1161,0.158899495,0.229977957,0.294573643,0.352380952,0.64,0.377316115,0.244673035,0.221360896,6.203246743,1.4,15.9,12.24125874,0.847086247,0.238304898,"[8, 7, 7, 7, 6, 6, 6, 6, 6, 5, 5]","[1962, 2100, 2247, 2404, 2548, 2701, 2863, 3035, 3217, 3378, 3547]",FALSE,"[0.16, 0.16, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15, 0.15]","[219.74, 235.2, 235.94, 252.42, 267.54, 283.6, 300.61, 318.67, 337.78, 354.69, 372.43]",218.13,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1409,"[120.83, 92.0, 77.37, 68.26, 53.33, 56.67, 60.0, 63.7, 67.41, 59.63, 132.16]","[107.41, 115.0, 140.0, 174.44, 192.0, 235.38, 294.55, 382.22, 520.0, 536.67, 132.16]","[111.54, 86.25, 73.5, 65.42, 57.6, 61.2, 64.8, 81.9, 107.06, 123.85, 132.16]",0.1419,0.0792,0.1357,851.36,2829.83,965.28,1,"[98.91000000000001, 143.2, 158.57, 184.15999999999997, 214.21000000000004, 226.93, 240.61, 254.97000000000003, 270.37, 295.06, 240.27]","[88.1226753090622, 113.66793258317298, 112.1407459789851, 116.03398092514597, 120.24778875322747, 113.49500342306503, 107.21263595066401, 101.22058807791852, 95.6281479475826, 92.97903904160543, 1045.5870558074992]",369.1602745
J. B. Chemicals & Pharmaceuticals Limited (BSE:506943),BSE:506943,Drugs (Pharmaceutical),Health Care,2424,3149,3484,1881,2454,2587,39,10,37,5,36,44,73,114,138,24%,26%,26%,33%,34%,34%,15,15,16,2119,2465,2908,55,572,378,412,495,687,1277,1901,2004,19,55,76,13,206,388,1293,1385,1519,170,626,801,2,-962,-404,-138,357,-385,26565,1708,43.5,53.66,Revenue Split H1FY24 Domestic Formulations - 55% Export Formulations - 30% Contract Manufacturing - 13% APIs - 2% [1],Large,941,731,548,0.270091848,0.232137186,0.226072607,0.242767214,15.55327869,7.624856487,1399,1983,1646,1325,145,238,-0.275239107,-0.990424077,2924,2480,2134,3302,3052,2189,0.284978801,0.239515072,0.250342622,1.34,0.8400927,0.114476075,0.187418087,0.025125628,9.008275675,1,13.5,12.98580503,0.87383998,0.115958668,"[8, 7, 7, 7, 6, 6, 6, 6, 6, 5, 5]","[3763, 4026, 4308, 4609, 4886, 5179, 5490, 5819, 6169, 6477, 6801]",FALSE,"[0.27, 0.26, 0.25, 0.23, 0.22, 0.21, 0.2, 0.19, 0.17, 0.16, 0.15]","[711.21, 732.73, 753.9, 742.05, 752.44, 761.31, 768.6, 773.93, 734.11, 725.42, 714.1]",4.13,"[1.2, 1.5, 1.9, 2.3, 2.7, 2.7, 2.7, 2.7, 2.7, 2.7]","[1.35, 1.2, 1.05, 0.9, 0.75, 0.65, 0.55, 0.45, 0.35, 0.3]","[1.3, 1.6, 2.0, 2.4, 2.5, 2.5, 2.5, 2.1, 1.7, 1.3]",0.1409,"[232.5, 175.33, 148.42, 130.87, 102.59, 108.52, 115.19, 121.85, 129.63, 114.07, 253.41]","[206.67, 219.17, 268.57, 334.44, 369.33, 450.77, 565.45, 731.11, 1000.0, 1026.67, 253.41]","[214.62, 164.38, 141.0, 125.42, 110.8, 117.2, 124.4, 156.67, 205.88, 236.92, 253.41]",0.155,0.0856,0.1481,1632.38,5425.59,1850.7,1,"[478.71000000000004, 557.4, 605.48, 611.18, 649.85, 652.79, 653.4100000000001, 652.0799999999999, 604.48, 611.3499999999999, 460.69000000000005]","[423.6903917956224, 436.6356540777683, 419.7861920183831, 375.0365516646551, 352.9341652848868, 313.78356072780394, 277.9832233686024, 245.53296343470038, 201.44986343729886, 180.3229789298598, 1701.5755605972295]",480.2030012
